year,origin,export_val,import_val,dest
1990,colombia,21840358.0,0.0,Austria
1991,colombia,94328.0,0.0,Austria
1991,colombia,19728937.0,0.0,Austria
1992,colombia,78807.0,0.0,Austria
1992,colombia,14719591.0,0.0,Austria
1993,colombia,271196.0,0.0,Austria
1993,colombia,13733663.0,0.0,Austria
1994,colombia,739808.0,0.0,Austria
1994,colombia,22081159.0,0.0,Austria
1995,colombia,827270.0,0.0,Austria
1995,colombia,19139834.0,0.0,Austria
1996,colombia,1990596.0,0.0,Austria
1996,colombia,15707104.0,0.0,Austria
1997,colombia,2682678.0,0.0,Austria
1997,colombia,41286471.0,0.0,Austria
1998,colombia,2960000.0,0.0,Austria
1998,colombia,45835000.0,0.0,Austria
1999,colombia,501066.0,0.0,Austria
1999,colombia,10511214.0,0.0,Austria
2000,colombia,302861.0,0.0,Austria
2000,colombia,9558637.0,0.0,Austria
2001,colombia,228820.0,0.0,Austria
2001,colombia,12073043.0,0.0,Austria
2002,colombia,248507.0,0.0,Austria
2002,colombia,10979042.0,0.0,Austria
2003,colombia,233352.0,67382.0,Austria
2003,colombia,11447563.0,0.0,Austria
2004,colombia,205811.0,74602.0,Austria
2004,colombia,10705332.0,0.0,Austria
2005,colombia,102360.0,174696.0,Austria
2005,colombia,6992261.0,0.0,Austria
2006,colombia,139593.0,23316.0,Austria
2006,colombia,8279327.0,0.0,Austria
2007,colombia,187114.0,0.0,Austria
2007,colombia,10611023.0,0.0,Austria
2008,colombia,232397.0,0.0,Austria
2008,colombia,11364669.0,0.0,Austria
2009,colombia,222823.0,0.0,Austria
2009,colombia,4199478.0,0.0,Austria
2010,colombia,217713.0,0.0,Austria
2010,colombia,2739245.0,0.0,Austria
2011,colombia,3085.0,0.0,Austria
2012,colombia,3942.0,0.0,Austria
2013,colombia,29086.0,0.0,Austria
2014,colombia,34657.0,0.0,Austria
2015,colombia,11547.0,0.0,Austria
2016,colombia,37276.0,0.0,Austria
2017,colombia,870827.0,0.0,Austria
1962,colombia,4611000.0,0.0,Belgium
1963,colombia,5434000.0,0.0,Belgium
1964,colombia,9730000.0,0.0,Belgium
1965,colombia,11548000.0,0.0,Belgium
1966,colombia,7988000.0,0.0,Belgium
1967,colombia,10184000.0,0.0,Belgium
1968,colombia,10497000.0,0.0,Belgium
1969,colombia,10060000.0,0.0,Belgium
1970,colombia,8271000.0,0.0,Belgium
1971,colombia,0.0,1000.0,Belgium
1971,colombia,11140000.0,0.0,Belgium
1972,colombia,9949000.0,0.0,Belgium
1973,colombia,5017000.0,0.0,Belgium
1974,colombia,295000.0,0.0,Belgium
1974,colombia,9060000.0,0.0,Belgium
1975,colombia,633000.0,0.0,Belgium
1975,colombia,9395000.0,0.0,Belgium
1976,colombia,1109000.0,0.0,Belgium
1976,colombia,14001000.0,0.0,Belgium
1977,colombia,2172000.0,0.0,Belgium
1977,colombia,16202000.0,0.0,Belgium
1978,colombia,605000.0,0.0,Belgium
1978,colombia,46721000.0,0.0,Belgium
1979,colombia,1346000.0,0.0,Belgium
1979,colombia,36663000.0,0.0,Belgium
1980,colombia,616000.0,0.0,Belgium
1980,colombia,40627000.0,0.0,Belgium
1981,colombia,274000.0,0.0,Belgium
1981,colombia,21855000.0,0.0,Belgium
1982,colombia,28178000.0,0.0,Belgium
1983,colombia,45586000.0,0.0,Belgium
1984,colombia,43939775.0,0.0,Belgium
1985,colombia,35207920.0,0.0,Belgium
1986,colombia,133041.0,0.0,Belgium
1986,colombia,51197581.0,0.0,Belgium
1987,colombia,307261.0,0.0,Belgium
1987,colombia,28556955.0,0.0,Belgium
1988,colombia,20846244.0,0.0,Belgium
1989,colombia,21182126.0,0.0,Belgium
1990,colombia,16371524.0,0.0,Belgium
1991,colombia,9389162.0,0.0,Belgium
1992,colombia,61414.0,0.0,Belgium
1992,colombia,9061105.0,0.0,Belgium
1993,colombia,6215330.0,839.0,Belgium
1994,colombia,91577.0,0.0,Belgium
1994,colombia,8806952.0,0.0,Belgium
1995,colombia,281565.0,0.0,Belgium
1995,colombia,41586764.0,0.0,Belgium
1996,colombia,669034.0,0.0,Belgium
1996,colombia,25501042.0,0.0,Belgium
1997,colombia,1403716.0,0.0,Belgium
1997,colombia,82729003.0,0.0,Belgium
1999,colombia,2393845.0,0.0,Belgium
1999,colombia,43826930.0,0.0,Belgium
2000,colombia,5360273.0,0.0,Belgium
2000,colombia,36154528.0,0.0,Belgium
2001,colombia,4272979.0,0.0,Belgium
2001,colombia,29568979.0,0.0,Belgium
2002,colombia,2768041.0,0.0,Belgium
2002,colombia,22966463.0,0.0,Belgium
2003,colombia,2397928.0,0.0,Belgium
2003,colombia,24054770.0,0.0,Belgium
2004,colombia,1853310.0,0.0,Belgium
2004,colombia,29849160.0,0.0,Belgium
2005,colombia,2294317.0,0.0,Belgium
2005,colombia,34362835.0,0.0,Belgium
2006,colombia,4228251.0,349709.0,Belgium
2006,colombia,40896106.0,0.0,Belgium
2007,colombia,5164357.0,0.0,Belgium
2007,colombia,47627011.0,0.0,Belgium
2008,colombia,5355896.0,0.0,Belgium
2008,colombia,87598808.0,24120.0,Belgium
2009,colombia,6415396.0,0.0,Belgium
2009,colombia,54367957.0,0.0,Belgium
2010,colombia,5305589.0,0.0,Belgium
2010,colombia,44134285.0,0.0,Belgium
2011,colombia,6326353.0,0.0,Belgium
2011,colombia,222200411.0,0.0,Belgium
2012,colombia,5402566.0,0.0,Belgium
2012,colombia,159512990.0,0.0,Belgium
2013,colombia,5541569.0,0.0,Belgium
2013,colombia,161310188.0,0.0,Belgium
2014,colombia,4626200.0,0.0,Belgium
2014,colombia,206866421.0,0.0,Belgium
2015,colombia,5939540.0,8565.0,Belgium
2015,colombia,208908613.0,0.0,Belgium
2016,colombia,5226636.0,1768.0,Belgium
2016,colombia,153301514.0,0.0,Belgium
2017,colombia,93238976.0,0.0,Belgium
