date,excelso_price_cents_per_pound
1996-01-01,117.01
1996-02-01,136.06
1996-03-01,130.52
1996-04-01,133.78
1996-05-01,143.19
1996-06-01,132.42
1996-07-01,136.03
1996-08-01,137.68
1996-09-01,125.18
1996-10-01,126.99
1996-11-01,132.75
1996-12-01,126.17
1997-01-01,144.82
1997-02-01,184.66
1997-03-01,212.75
1997-04-01,215.45
1997-05-01,262.92
1997-06-01,247.75
1997-07-01,201.06
1997-08-01,204.88
1997-09-01,206.63
1997-10-01,177.46
1997-11-01,171.28
1997-12-01,184.06
1998-01-01,185.01
1998-02-01,189.17
1998-03-01,164.94
1998-04-01,160.53
1998-05-01,146.14
1998-06-01,135.53
1998-07-01,127.25
1998-08-01,138.36
1998-09-01,123.65
1998-10-01,121.99
1998-11-01,131.16
1998-12-01,130.94
1999-01-01,129.44
1999-02-01,120.3
1999-03-01,120.8
1999-04-01,117.19
1999-05-01,127.71
1999-06-01,124.55
1999-07-01,111.95
1999-08-01,107.54
1999-09-01,102.92
1999-10-01,105.77
1999-11-01,123.11
1999-12-01,138.19
2000-01-01,126.56
2000-02-01,119.87
2000-03-01,117.69
2000-04-01,109.77
2000-05-01,111.84
2000-06-01,102.4
2000-07-01,103.78
2000-08-01,90.77
2000-09-01,91.94
2000-10-01,91.68
2000-11-01,82.25
2000-12-01,78.94
2001-01-01,76.97
2001-02-01,73.75
2001-03-01,74.25
2001-04-01,76.11
2001-05-01,81.36
2001-06-01,72.03
2001-07-01,69.28
2001-08-01,70.17
2001-09-01,70.16
2001-10-01,63.14
2001-11-01,62.45
2001-12-01,62.4
2002-01-01,62.462903225806464
2002-02-01,60.73571428571428
2002-03-01,68.59838709677419
2002-04-01,68.27833333333335
2002-05-01,65.70483870967745
2002-06-01,61.485
2002-07-01,60.88870967741935
2002-08-01,56.91774193548387
2002-09-01,64.10166666666669
2002-10-01,67.84838709677418
2002-11-01,70.02166666666666
2002-12-01,65.61290322580643
2003-01-01,67.02683870967742
2003-02-01,67.01464285714286
2003-03-01,62.828064516129025
2003-04-01,65.07966666666665
2003-05-01,66.15806451612902
2003-06-01,61.744333333333316
2003-07-01,64.58548387096775
2003-08-01,65.84645161290325
2003-09-01,67.65333333333334
2003-10-01,66.09677419354837
2003-11-01,64.957
2003-12-01,66.50774193548385
2004-01-01,71.32387096774197
2004-02-01,76.58758620689653
2004-03-01,78.25806451612901
2004-04-01,75.66366666666666
2004-05-01,76.24225806451612
2004-06-01,83.30633333333334
2004-07-01,77.31645161290324
2004-08-01,74.79354838709678
2004-09-01,80.34733333333334
2004-10-01,83.34451612903226
2004-11-01,90.879
2004-12-01,104.89354838709677
2005-01-01,107.87677419354837
2005-02-01,119.38357142857141
2005-03-01,135.55580645161288
2005-04-01,129.00066666666666
2005-05-01,130.1935483870968
2005-06-01,123.66933333333336
2005-07-01,112.32225806451612
2005-08-01,109.74870967741933
2005-09-01,102.81233333333333
2005-10-01,104.67548387096775
2005-11-01,109.1356666666667
2005-12-01,107.11645161290325
2006-01-01,124.30225806451614
2006-02-01,123.0392857142857
2006-03-01,116.9412903225806
2006-04-01,117.42166666666668
2006-05-01,113.78870967741933
2006-06-01,106.134
2006-07-01,107.62290322580645
2006-08-01,113.37580645161292
2006-09-01,112.96000000000001
2006-10-01,112.28709677419357
2006-11-01,122.2256666666667
2006-12-01,131.6103225806452
2007-01-01,127.17032258064518
2007-02-01,123.8485714285714
2007-03-01,119.49064516129035
2007-04-01,116.95766666666667
2007-05-01,114.91193548387096
2007-06-01,120.62500000000001
2007-07-01,120.82870967741933
2007-08-01,125.04612903225807
2007-09-01,129.06433333333334
2007-10-01,137.09612903225806
2007-11-01,132.61733333333342
2007-12-01,139.77129032258068
2008-01-01,142.2503225806451
2008-02-01,155.17896551724132
2008-03-01,157.09774193548384
2008-04-01,141.506
2008-05-01,143.71548387096777
